API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sun Dec  3 16:29:08 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2035-Dec-01 00:00:00.0000 TDB
Stop  time      : A.D. 2036-Dec-31 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2464662.500000000, A.D. 2035-Dec-01 00:00:00.0000,  5.461504316825783E+07,  1.358827237682527E+08,  1.134771545566618E+03, -2.812448919164730E+01,  1.099076401495164E+01, -6.508590873703923E-04,
2464663.500000000, A.D. 2035-Dec-02 00:00:00.0000,  5.217671727987255E+07,  1.368110502163004E+08,  1.089179503194988E+03, -2.831671425462648E+01,  1.049767869374465E+01, -4.083901872511397E-04,
2464664.500000000, A.D. 2035-Dec-03 00:00:00.0000,  4.972217936348945E+07,  1.376966234361735E+08,  1.063424800097942E+03, -2.849975872637532E+01,  1.000114840345284E+01, -1.928574206546685E-04,
2464665.500000000, A.D. 2035-Dec-04 00:00:00.0000,  4.725222467909380E+07,  1.385391567113433E+08,  1.054887172222137E+03, -2.867357776251940E+01,  9.501425263983768E+00, -1.084935425810230E-05,
2464666.500000000, A.D. 2035-Dec-05 00:00:00.0000,  4.476765168125653E+07,  1.393383848878094E+08,  1.060425411626697E+03, -2.883814186039236E+01,  8.998756362944375E+00,  1.321409040175858E-04,
2464667.500000000, A.D. 2035-Dec-06 00:00:00.0000,  4.226926077695818E+07,  1.400940639749524E+08,  1.076465748660266E+03, -2.899343518168305E+01,  8.493384745315719E+00,  2.315693086765158E-04,
2464668.500000000, A.D. 2035-Dec-07 00:00:00.0000,  3.975785315466309E+07,  1.408059708631051E+08,  1.099078500062227E+03, -2.913945566842892E+01,  7.985550982203987E+00,  2.837307560286106E-04,
2464669.500000000, A.D. 2035-Dec-08 00:00:00.0000,  3.723422951119965E+07,  1.414739031660721E+08,  1.124050189524889E+03, -2.927621732637475E+01,  7.475494297509145E+00,  2.857810909278058E-04,
2464670.500000000, A.D. 2035-Dec-09 00:00:00.0000,  3.469918848714047E+07,  1.420976790947614E+08,  1.146966919861734E+03, -2.940375463657931E+01,  6.963451912058171E+00,  2.359921829611089E-04,
2464671.500000000, A.D. 2035-Dec-10 00:00:00.0000,  3.215352465184331E+07,  1.426771371397007E+08,  1.163333178080618E+03, -2.952212836871355E+01,  6.449654992780465E+00,  1.343292703741561E-04,
